Year,NSW ,Vic,Qld,WA,SA,Tas
2011-12,226.5803668,255.8489529,214.1895877,256.4832794,202.6227837,276.3968576
2012-13,204.0042599,254.3982961,195.8785942,275.8466454,193.8551651,305.0266241
2013-14,194.7337902,254.1254416,183.4285993,284.883723,194.6215565,312.0924497
2014-15,189.0188103,275.361399,178.7738974,280.8297625,192.1139112,336.789598
2015-16,170.494101,295.9480347,181.0000843,255.7643561,199.4398629,318.2341012
2016-17,174.5202118,307.0921957,184.8619811,239.1008142,211.7023799,299.2241001
2017-18,181.9775011,324.0464477,181.6777724,241.3725052,228.6773066,305.1381957
